Zone BACK Infiltration Hybrid Model Air Change Rate solved with T,Zone CORE Infiltration Hybrid Model Air Change Rate solved with T,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with T,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with T,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with T,Zone BACK Infiltration Hybrid Model Air Change Rate solved with CO2,Zone CORE Infiltration Hybrid Model Air Change Rate solved with CO2,Zone FRONT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone LEFT Infiltration Hybrid Model Air Change Rate solved with CO2,Zone RIGHT Infiltration Hybrid Model Air Change Rate solved with CO2,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
2.270060174,2.284535247,2.274865344,2.271191162,2.271606719,2.727084917,2.726901267,2.727042726,2.72707774,2.727073849,2.575875436,2.57797093,2.57637392,2.57596244,2.576001379
2.23700737,2.252048736,2.241738542,2.238145856,2.238435393,2.365336536,2.364694867,2.365180133,2.365307045,2.365295787,2.57416336,2.576061156,2.574621732,2.574251584,2.574286252
2.18204813,2.200557267,2.186953191,2.183155615,2.183560303,2.52312792,2.522802104,2.523051858,2.52311353,2.523107345,2.569122735,2.571079306,2.569546407,2.569187448,2.569218828
0,0,0,0,0,0.112261137,0.112363196,0.112299684,0.112273588,0.112276766,0,0,0,0,0
0,0,0,0,0,5.88E-14,8.82E-15,4.10E-14,0,4.82E-14,0,0,0,0,0
0,0,0,0,0,4.80E-14,0,1.71E-14,1.54E-14,1.11E-13,0,0,0,0,0
0,0,0,0,0,7.23E-14,0,3.09E-14,1.26E-14,8.34E-14,0,0,0,0,0
0,0,0,0,0,4.22E-14,0,2.66E-14,4.47E-14,1.23E-13,0,0,0,0,0
0,0,0,0,0,0.000155013,0,9.67E-05,0.000146873,0.000142683,0,0,0,0,0
0,0,0,0,0,0.268135062,0.267755388,0.268125189,0.268150163,0.268149229,0,0,0,0,0
0,0,0,0,0,0.158745068,0.158639899,0.158742782,0.158748858,0.158750365,0,0,0,0,0
0,0,0,0,0,0.42005734,0.420111308,0.420059482,0.420055014,0.420058082,0,0,0,0,0
0,0,0,0,0,0.42451432,0.424567823,0.424521515,0.424511123,0.424516341,0,0,0,0,0
0,0,0,0,0,0.429798511,0.429856217,0.429816455,0.429794242,0.42979834,0,0,0,0,0
0,0.0009899,0,0,0,0.439883872,0.439859554,0.439892835,0.439885615,0.43987979,0,0,0,0,0
0.015224872,0.024076924,0.017673846,0.014742053,0.015194506,0.151266743,0.150581555,0.151093139,0.151311268,0.151260321,0,0,0,0,0
