S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
3.02013423,2.539073737,3.021609664,3.021033548,3.020675865,2.598963789,2.600804612,2.603987788,2.601183608,2.600257779
2.889719228,2.135008726,2.890264228,2.890160554,2.890043386,2.608001223,2.609417513,2.612784012,2.610199,2.609292133
3.830160746,0.930974841,3.781770849,3.808038709,3.818237227,2.60703937,2.608296866,2.611541479,2.609163748,2.608294119
3.279739172,2.315818416,3.278978457,3.279477582,3.279626815,2.607887775,2.609805501,2.611941227,2.60974444,2.60895606
2.172063247,2.058985455,2.171575926,2.171919779,2.171987172,2.611427781,2.613340075,2.615232052,2.613187615,2.612426646
0.366540333,0.298740605,0.366689276,0.366599885,0.366570055,0.791416098,0.79286997,0.792621745,0.791877221,0.791735871
0,0,0,0,0,0.792190489,0.794199955,0.793843655,0.792635198,0.793033285
0.718640087,0.611055066,0.720238635,0.71899202,0.719416848,0.78866398,0.790951975,0.791253768,0.78909087,0.790005122
0.298020012,0.338547934,0.30004471,0.298279673,0.298651955,0.786617263,0.789194541,0.790744959,0.787011814,0.788096448
1.10037816,0.928471103,1.101260091,1.100413295,1.100651725,0.783732804,0.786645913,0.789334608,0.784116067,0.784649964
1.016166176,0.799727516,1.016326408,1.016122825,1.016102688,0.782417049,0.785710675,0.789147354,0.782802616,0.782935837
0.460459443,0.496683939,0.461236051,0.460485371,0.460483073,0.783561084,0.787144626,0.79078226,0.784239199,0.784034917
1.015570283,0.940651742,1.015890946,1.015824644,1.015607968,0.782338204,0.785767353,0.789364358,0.783997815,0.782893642
1.020254526,0.94671972,1.020440127,1.020517765,1.020286927,0.78056692,0.783669724,0.78667485,0.782961246,0.781172691
0.279935015,0.316788993,0.280964187,0.280398683,0.280110608,0.781945989,0.784890263,0.786658316,0.784161008,0.782549094
1.275136227,1.183587329,1.275137938,1.275255086,1.275130967,0.780760699,0.783138569,0.78424182,0.782009535,0.781361254
1.109318108,1.048733923,1.10746471,1.108694932,1.108944227,0.780298283,0.782354919,0.78355533,0.781241202,0.780878772
2.778640131,2.674426563,2.776161852,2.778118236,2.778278506,2.589036944,2.592846817,2.598687431,2.592072484,2.591048866
1.739073079,1.620792966,1.736884173,1.738433948,1.738637825,2.585129207,2.588500105,2.594237646,2.58813815,2.5870697
2.146713934,2.068160218,2.145607845,2.14644989,2.146515014,2.588892902,2.592201371,2.597664068,2.591889954,2.590747921
2.504684318,2.35462107,2.503033779,2.504286249,2.504390478,2.594455993,2.597320122,2.60294399,2.597487335,2.596291877
1.866644816,1.766768199,1.864505823,1.865931521,1.86619746,2.59108492,2.593802458,2.599181342,2.594058581,2.592848941
3.138870484,2.365093408,3.139499096,3.139376809,3.13913009,2.589619036,2.591975788,2.597719285,2.592715019,2.591445989
3.221061493,2.54226156,3.222069254,3.221676823,3.221351442,2.595158068,2.597181271,2.602974097,2.598245589,2.596980235
2.28169192,1.488118381,2.28057103,2.280542569,2.281596911,2.589230541,2.59129098,2.596647959,2.592185869,2.590966822
3.722507483,0,3.72065986,3.721784776,3.722144756,2.586067257,2.588330491,2.593112335,2.588871379,2.58769387
4.195477711,2.88885787,4.193715879,4.195166198,4.195297656,2.592768546,2.594748575,2.599524612,2.595522657,2.594362529
2.535351673,1.968104584,2.533160375,2.534577152,2.534896272,2.59827277,2.600479043,2.604417083,2.600769987,2.599706052
1.716717089,1.600535177,1.716286405,1.716568231,1.716621512,2.600381822,2.60273593,2.606185392,2.602746402,2.601734951
0.294602121,0.296472334,0.294818732,0.294700853,0.294617097,0.785361012,0.786962111,0.787202798,0.786031685,0.785819108
0,0,0,0,0,0.786039869,0.788270004,0.788502711,0.786696103,0.787157032
0.705138253,0.599072255,0.707406354,0.705679457,0.706105352,0.781809194,0.784282059,0.78520193,0.782427171,0.783377531
0.078817612,0.146716707,0.080552477,0.079096617,0.079279259,0.778929114,0.78168948,0.783253444,0.77949555,0.780370635
0.963264821,0.814122232,0.964949995,0.96343683,0.963681069,0.774526771,0.77757171,0.78011423,0.775059332,0.775504842
0.987258797,0.763818236,0.987683528,0.987245213,0.987302855,0.770945494,0.774239735,0.776751606,0.77145122,0.77156367
