S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly)
1.355543084,1.023040554,1.355816013,1.355513113,1.355281701,0.782417049,0.785710675,0.789147354,0.782802616,0.782935837
0.874383712,0.78905632,0.874619182,0.874393933,0.874572201,0.783561084,0.787144626,0.79078226,0.784239199,0.784034917
1.512444578,1.301849439,1.512080841,1.512552778,1.512226821,0.782338204,0.785767353,0.789364358,0.783997815,0.782893642
1.551562088,1.34772954,1.551361278,1.55176273,1.551400443,0.78056692,0.783669724,0.78667485,0.782961246,0.781172691
0.770151093,0.691392999,0.771522054,0.770567416,0.7705028,0.781945989,0.784890263,0.786658316,0.784161008,0.782549094
1.45818446,1.3220315,1.456027322,1.457799618,1.457654984,0.780760699,0.783138569,0.78424182,0.782009535,0.781361254
1.346691674,1.23404142,1.341861942,1.345116597,1.345749476,0.780298283,0.782354919,0.78355533,0.781241202,0.780878772
3.461777401,3.259806596,3.454474749,3.459140743,3.460536819,2.589036944,2.592846817,2.598687431,2.592072484,2.591048866
2.390850086,2.007513199,2.388210176,2.38986012,2.390357644,2.585129207,2.588500105,2.594237646,2.58813815,2.5870697
2.726540292,2.479072912,2.723989246,2.72550661,2.726092016,2.588892902,2.592201371,2.597664068,2.591889954,2.590747921
2.821057071,2.612382994,2.817461472,2.819605781,2.820423498,2.594455993,2.597320122,2.60294399,2.597487335,2.596291877
2.397095642,2.163851353,2.394493514,2.396062206,2.396596874,2.59108492,2.593802458,2.599181342,2.594058581,2.592848941
3.498270137,2.582456279,3.496086364,3.497306801,3.498061428,2.589619036,2.591975788,2.597719285,2.592715019,2.591445989
3.259705418,2.570159407,3.257972527,3.258906878,3.259488718,2.595158068,2.597181271,2.602974097,2.598245589,2.596980235
2.309124354,1.500332742,2.306317427,2.307102174,2.308746127,2.589230541,2.59129098,2.596647959,2.592185869,2.590966822
3.76684796,0,3.762595735,3.764891118,3.766115288,2.586067257,2.588330491,2.593112335,2.588871379,2.58769387
4.247344765,2.921896071,4.243211523,4.245787664,4.246810788,2.592768546,2.594748575,2.599524612,2.595522657,2.594362529
2.66056929,2.067285859,2.657049598,2.659137214,2.65996521,2.59827277,2.600479043,2.604417083,2.600769987,2.599706052
2.341487868,2.132219597,2.340774986,2.341192964,2.341376151,2.600381822,2.60273593,2.606185392,2.602746402,2.601734951
0.426859779,0.33778846,0.426620226,0.426803944,0.426744128,0.785361012,0.786962111,0.787202798,0.786031685,0.785819108
0.204073106,0.145508903,0.206126174,0.204710229,0.204714827,0.786039869,0.788270004,0.788502711,0.786696103,0.787157032
1.348528458,1.077703849,1.349917615,1.348877917,1.349075101,0.781809194,0.784282059,0.78520193,0.782427171,0.783377531
0.53669016,0.525133012,0.539448239,0.537248447,0.537473445,0.778929114,0.78168948,0.783253444,0.77949555,0.780370635
1.50953205,1.212779568,1.510627917,1.509615279,1.50977851,0.774526771,0.77757171,0.78011423,0.775059332,0.775504842
1.344219704,0.995967481,1.344554778,1.34419484,1.344027018,0.770945494,0.774239735,0.776751606,0.77145122,0.77156367
0.921148786,0.835491978,0.921545773,0.921211186,0.921321032,0.768229794,0.771866069,0.773643926,0.768841993,0.768756044
1.506925708,1.313547833,1.506505368,1.506973104,1.506636076,0.765381298,0.768801541,0.770259033,0.766344076,0.765923328
1.620493973,1.431473457,1.619750248,1.620481075,1.620198639,0.766715158,0.769815017,0.770549775,0.767543969,0.767284439
0.870542475,0.773628028,0.871023644,0.870614286,0.870759423,0.770183616,0.773133492,0.773423068,0.770885673,0.770777624
1.381276672,1.251567211,1.379566491,1.380989359,1.380747941,0.769009214,0.771509396,0.771799222,0.769610414,0.76963417
0.919561594,0.870234945,0.917604081,0.919150174,0.919023287,0.765709414,0.767854741,0.768327114,0.766282879,0.766346826
2.877098051,2.725022249,2.872919197,2.876162571,2.875952863,2.537373085,2.542238658,2.544929695,2.538922866,2.539082784
2.464671996,2.025462095,2.463343325,2.464417189,2.46432336,2.539081063,2.543526643,2.546286802,2.540582681,2.540716614
2.842952087,2.591621127,2.841171927,2.84259388,2.842444687,2.54272172,2.546891029,2.549676118,2.544236507,2.544352022
1.576818397,1.675167863,1.576175494,1.576704258,1.576777344,2.53422671,2.538130592,2.54078157,2.535679137,2.535775867
6.015583307,5.847950435,6.013482867,6.015084613,6.014682777,2.522215514,2.526241339,2.528332227,2.523598839,2.523676277
4.376147388,4.209677367,4.376277074,4.376558297,4.375804645,2.521485118,2.525798845,2.527557382,2.522846119,2.522926032
3.570328455,6.316260758,3.570237244,3.570194308,3.57013133,2.523724436,2.528014481,2.529544311,2.5249976,2.525073807
3.328140068,4.113982047,3.327801112,3.328067415,3.327840769,2.528279694,2.532332946,2.53388101,2.529460315,2.529529491
4.014663208,2.324990335,4.013130753,4.014301948,4.014192272,2.53129925,2.535110265,2.536665727,2.532415941,2.532488285
4.341868506,4.712614364,4.340048996,4.341554359,4.341309454,2.536943665,2.540606037,2.542138445,2.538061644,2.538136489
2.339089233,2.481334725,2.330324881,2.337272337,2.336753212,2.540267846,2.543738843,2.544962954,2.541285971,2.541355392
2.175102302,1.906868608,2.175033038,2.17509718,2.175075386,2.541458031,2.544909514,2.545854587,2.542396791,2.542462995
0.67715341,0.503152575,0.677475083,0.677229383,0.677255157,0.766869547,0.768521425,0.768279601,0.767173151,0.767205277
1.103378907,0.986493777,1.103325328,1.103349124,1.103358195,0.772841339,0.775098697,0.774335593,0.773113121,0.773183059
1.559495447,1.344638011,1.559328646,1.559487732,1.559477589,0.776156769,0.778481281,0.777734186,0.776405705,0.776563294
1.008506892,0.920437756,1.008552375,1.008512514,1.008518964,0.779528434,0.781872371,0.781206884,0.779758976,0.779951906
1.542505853,1.313256771,1.542471021,1.542530295,1.54251173,0.781547327,0.783840993,0.783215323,0.781768545,0.781918769
1.240603295,1.010576796,1.24055977,1.240638576,1.240597997,0.781971295,0.78422877,0.783580437,0.782196112,0.78228355
1.003963004,0.886813015,1.003970566,1.003953533,1.003962513,0.784343602,0.78676505,0.785958047,0.78460442,0.784621542
1.502455603,1.309189722,1.50238931,1.502508142,1.502443781,0.785038718,0.787224952,0.786580871,0.785394128,0.785307992
1.557196696,1.341658267,1.557181463,1.557251798,1.557198996,0.784501563,0.786527982,0.785938651,0.784924712,0.784763184
0.894229904,0.79165594,0.89437649,0.894253172,0.894259958,0.783486434,0.785521822,0.784743174,0.783870331,0.783736973
1.387639116,1.257582113,1.387594164,1.387674418,1.387617809,0.781192555,0.782979282,0.782325511,0.781480945,0.781441957
0.803625066,0.782357206,0.803106609,0.803510662,0.803515136,0.778962842,0.7805258,0.780053582,0.779237207,0.779229122
2.84189633,2.696031051,2.840978651,2.841734295,2.841758,2.575071128,2.577590869,2.578225113,2.576024063,2.576011046
2.836972051,2.385032484,2.83681086,2.836947743,2.836986735,2.568918773,2.571203673,2.57179505,2.569793386,2.569774545
2.465810246,2.292670641,2.4655661,2.465760717,2.465770494,2.56913725,2.571426629,2.571823119,2.569945012,2.569917599
2.91889788,2.687833626,2.918811505,2.91889139,2.91893584,2.57257911,2.574516509,2.57511071,2.573374467,2.573336513
2.998402535,2.818768328,2.998428368,2.998480838,2.998512882,2.572877254,2.574659253,2.575252387,2.573645966,2.573604949
2.742874873,4.258873399,2.74218164,2.74268851,2.742798336,2.565528705,2.567292,2.56785401,2.566288402,2.566240754
3.606612192,1.67417018,3.596674513,3.602484362,3.604332782,2.56462258,2.566429169,2.56681529,2.565331294,2.565276284
2.481151697,1.494882964,2.481396747,2.480903005,2.481072247,2.564628745,2.566357173,2.566685538,2.565299291,2.56524063
3.748691779,4.540900796,3.749327105,3.74896238,3.74898735,2.562765251,2.564488346,2.564690439,2.563388894,2.563328994
4.502320181,3.659428331,4.502702955,4.502477326,4.502566207,2.564380102,2.566058902,2.566181433,2.564965861,2.56490658
3.080600868,2.968167823,3.078701444,3.080403847,3.080080916,2.56670637,2.568567452,2.568306227,2.567203757,2.567148187
2.507336992,2.105035351,2.507229923,2.507330731,2.507302881,2.56651885,2.568440951,2.567998636,2.566967085,2.566915121
0.553611665,0.450343778,0.553561683,0.553573415,0.553572016,0.774067763,0.77533014,0.774544797,0.774162794,0.774175435
1.946773893,1.390629897,1.946683054,1.946715578,1.946683119,0.776714929,0.778457901,0.777309125,0.776773457,0.776896389
0.518440968,0.470034457,0.518790308,0.518388315,0.518454939,0.780306993,0.782259699,0.781033475,0.780333517,0.780525992
1.04622869,0.929447202,1.046527777,1.046235084,1.046309587,0.783203977,0.785201879,0.784088841,0.783211336,0.783428938
1.427371369,1.205171791,1.427564026,1.427424315,1.42743406,0.78401817,0.78606935,0.785357641,0.784015323,0.784233859
1.230962608,1.018682657,1.231149348,1.231046664,1.231010046,0.784630738,0.786843901,0.786035469,0.784638347,0.784731486
1.080059119,0.923222679,1.079984819,1.080025964,1.080046468,0.786005397,0.788325947,0.787226927,0.786077908,0.786061452
1.384967617,1.219889569,1.384963032,1.385016903,1.38497342,0.785388395,0.787551002,0.786504696,0.785551874,0.785439602
1.119266195,1.051923898,1.119321951,1.119296807,1.119274458,0.783973178,0.785929081,0.784855233,0.784122721,0.784034724
1.477383912,1.249040974,1.477297146,1.477449531,1.477400243,0.78333932,0.785243664,0.784058958,0.783492517,0.783420243
0.9672758,0.939504222,0.967079347,0.967268641,0.967254275,0.781832667,0.783523528,0.782450335,0.781934302,0.781921857
0.924580846,0.869444268,0.924333472,0.924575546,0.924564347,0.779371014,0.780841088,0.779982666,0.779469513,0.779482315
3.078975141,2.903752406,3.078546404,3.079013252,3.07903066,2.579794939,2.582043067,2.581628344,2.58025305,2.580309467
2.622636746,2.226962421,2.622325509,2.622634181,2.622627257,2.576222671,2.578141981,2.57790462,2.576662727,2.576711669
1.883001941,1.874606525,1.882962406,1.88298025,1.882977162,2.573301895,2.575316333,2.574882551,2.573694816,2.57373143
2.94142494,2.601758424,2.94115881,2.941433224,2.941460079,2.570537355,2.572430695,2.57202556,2.570905775,2.570934821
3.630465781,0.249190876,3.631268531,3.630790626,3.630791161,2.568132353,2.570013085,2.569532315,2.568473737,2.568496102
2.227042999,2.912444323,2.226994944,2.227163845,2.227159314,2.564628132,2.566401534,2.566005784,2.564974296,2.564990096
3.134225412,0.021118285,3.13403531,3.134248495,3.134730982,2.562824849,2.564619243,2.564122347,2.563140302,2.563149645
4.480144747,2.887575169,4.480172393,4.48028464,4.480287174,2.564096897,2.565854013,2.565310105,2.564389143,2.564394679
3.384959705,0.413182197,3.380890078,3.384647903,3.384656064,2.564075509,2.565766156,2.565205544,2.564348446,2.564350866
3.283569726,8.023766511,3.283748033,3.28368175,3.283696066,2.559985462,2.561731963,2.561042951,2.560223523,2.56022056
4.412766412,0.713710464,4.413040464,4.412186781,4.412201051,2.560047978,2.562112391,2.560983091,2.560210758,2.5602053
2.337268457,2.010656414,2.337262101,2.337279872,2.337283167,2.56515881,2.567165625,2.566018258,2.565304718,2.565296731
0.599856819,0.488675574,0.599840756,0.599824478,0.599810065,0.774650114,0.775908483,0.774933498,0.774658287,0.774678559
1.702228331,1.293350298,1.702202866,1.702193749,1.702171796,0.778360805,0.780142161,0.778738595,0.77833248,0.778445318
1.030559291,0.8674472,1.03072315,1.030519114,1.030561071,0.781894225,0.783840857,0.782332981,0.781842625,0.781980338
1.195236751,1.038959295,1.195352552,1.195231665,1.195264407,0.783459153,0.785415795,0.78400617,0.783395932,0.78354685
1.05956195,0.919812626,1.05967957,1.059557927,1.059573426,0.784205334,0.786283012,0.784846609,0.784121281,0.784242875
1.369359426,1.102135181,1.369461647,1.369425986,1.369400773,0.784180879,0.78642453,0.784890162,0.784092359,0.784158694
1.105844571,0.944929001,1.105829415,1.105827937,1.105838802,0.784502752,0.786928948,0.785262015,0.784445603,0.784439945
1.039815482,0.9740824,1.039839114,1.039828601,1.039815197,0.785533021,0.7879325,0.786224187,0.785525772,0.7854619
1.637048803,1.431061854,1.637023929,1.637143599,1.637077269,0.785769188,0.787780743,0.786407336,0.785859255,0.7857282
1.491378549,1.237949447,1.491289906,1.491422737,1.491403018,0.786065033,0.787989721,0.786563948,0.786170447,0.786053685
0.700398799,0.754823471,0.700256101,0.700390306,0.700411488,0.783750174,0.785463478,0.784106648,0.783786293,0.78375805
0.909901834,0.856795596,0.909723207,0.909897815,0.909902256,0.781493252,0.782983227,0.781829341,0.781522574,0.781523129
3.011317083,2.833444043,3.01094288,3.01130345,3.01135401,2.58421211,2.586358833,2.585251134,2.58448642,2.584494164
2.349871297,1.971695024,2.349674908,2.34983889,2.349859787,2.575975413,2.57791971,2.576946254,2.576253555,2.576239586
1.766461127,1.816919212,1.766627655,1.766447731,1.766414201,2.571708259,2.573835902,2.572630211,2.57193525,2.571917982
3.139637933,2.811234239,3.139405222,3.139650072,3.139704088,2.569431534,2.571460125,2.570301102,2.569645272,2.569618294
1.251777851,1.412449351,1.251788958,1.251677164,1.251638289,2.564580928,2.566625684,2.565399264,2.564768841,2.564738745
0,2.716634095,0,1.23E-14,2.77E-14,0,0,0,0,0
3.31E-15,0.300633765,0,1.31E-14,1.31E-14,0,0,0,0,0
0,0.163105384,0,5.92E-15,8.85E-15,0,0,0,0,0
0,0.062899577,0,2.42E-15,5.61E-15,0,0,0,0,0
0,0.04360748,0,1.74E-15,1.76E-15,0,0,0,0,0
0.074498223,0.00794939,0.07448571,0.074498823,0.074500425,0,0,0,0,0
0.23634851,0.213445632,0.236304069,0.236373389,0.236380459,0,0,0,0,0
0.223047892,0.242869318,0.222994615,0.223081423,0.223103879,0,0,0,0,0
1.073299936,1.854318849,1.073798363,1.073284589,1.073513958,0,0,0,0,0
0.259782911,0.153388927,0.259807255,0.259714643,0.259677753,0,0,0,0,0
0.027407898,0.039108465,0.02750973,0.02735337,0.027374922,0,0,0,0,0
0.345988804,0.271623761,0.346161984,0.345935065,0.345970323,0,0,0,0,0
0.102579216,0.119413742,0.10263174,0.102564901,0.102574857,0,0,0,0,0
0.103506362,0.129279822,0.1035051,0.103507858,0.103508089,0,0,0,0,0
0.106525231,0.15029038,0.106518228,0.106525359,0.106525757,0,0,0,0,0
0.121230902,0.168028773,0.121215294,0.121235175,0.121233895,0,0,0,0,0
0.128249282,0.156298167,0.12822133,0.128253073,0.128253192,0,0,0,0,0
0.029347705,0.083574244,0.029331211,0.029348265,0.029350943,0,0,0,0,0
0.038964781,0.076740762,0.038957159,0.038964741,0.038965204,0,0,0,0,0
0.001904835,0,0.001904438,0.001904228,0.001905092,0,0,0,0,0
6.50E-16,0,0,1.56E-15,2.09E-15,0,0,0,0,0
2.53E-15,0,0,1.53E-15,3.04E-15,0,0,0,0,0
1.31E-15,0.000571226,0,1.05E-15,3.62E-15,0,0,0,0,0
6.65E-16,0,6.63E-16,1.06E-15,2.63E-15,0,0,0,0,0
1.90E-15,0,0,2.00E-15,2.52E-15,0,0,0,0,0
1.23E-15,0,0,2.46E-15,2.95E-15,0,0,0,0,0
1.23E-15,0,0,1.97E-15,2.95E-15,0,0,0,0,0
1.23E-15,0,6.15E-16,1.47E-15,1.97E-15,0,0,0,0,0
6.16E-16,0,0,1.97E-15,2.46E-15,0,0,0,0,0
0,0.041417297,0,0,0,0,0,0,0,0
0.036408904,0.096322764,0.036409145,0.036409062,0.036409624,0,0,0,0,0
0.044701182,0.085660124,0.044699392,0.044701326,0.044701896,0,0,0,0,0
0.049705983,0.077260782,0.049703389,0.049706783,0.049708181,0,0,0,0,0
0.067069569,0.099233483,0.067066402,0.067073826,0.067074057,0,0,0,0,0
0.074263364,0.09967798,0.074257819,0.074268324,0.074268561,0,0,0,0,0
0.061960349,0.072443929,0.061953395,0.061964515,0.061962508,0,0,0,0,0
