Date/Time,CORE_ZN ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_1 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_2 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_3 ZN:Zone People Occupant Count [](Hourly),PERIMETER_ZN_4 ZN:Zone People Occupant Count [](Hourly),ATTIC ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_1 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_2 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_3 ZN:Zone Infiltration Air Change Rate [ach](Hourly),PERIMETER_ZN_4 ZN:Zone Infiltration Air Change Rate [ach](Hourly) 
 01/05  10:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0115510172087468,0.30076044955286548,0.09122068236610392,0.08117441652163203,0.09121987703147989 
 01/05  11:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.027356682787935,0.2993053470438258,0.09170272709804479,0.08160341562177392,0.0917017513890746 
 01/05  12:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0413139816958979,0.3121775214489342,0.1075247768612274,0.0956838841198611,0.10752330268929829 
 01/05  13:00:00,4.781147777295552,3.6244196099503287,2.1500523556602659,3.6244196099503296,2.1500523556602659,1.048309182093683,1.5977560910550484,0.11650304688117543,0.10367299281943915,0.11650158452256364 
 01/05  14:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0462822106065382,0.3069481566806203,0.10287135755428839,0.0915442349761122,0.1028696002660857 
 01/05  15:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0361655211498902,0.3125955922630586,0.11041637596530769,0.09826206456758084,0.11041349185224274 
 01/05  16:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0201244245050599,0.3298250110184873,0.13190092259338097,0.11737785460543916,0.13189838339967695 
 01/05  17:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0078805193620735,0.32376847315194037,0.1250138714212908,0.11124866381700778,0.12501160345799276 
 01/05  18:00:00,2.8867307334614655,2.188328821102085,1.2981448185118588,2.1883288211020859,1.2981448185118588,0.9978439060150403,1.5789955290738985,0.11104627345418143,0.09881597885513156,0.11104514516691033 
 01/05  19:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.994211274518741,0.31002179656361097,0.10826020026079958,0.09632943590399347,0.10826118684580284 
 01/05  20:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9935300176283687,0.36747244540938425,0.41239994282028866,0.36706322682955858,0.4124958601068422 
 01/05  21:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9941744731398465,0.35662071267354147,0.4000646835240416,0.3561282804605002,0.40014979799190267 
 01/05  22:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.993881368865198,0.3107285799587098,0.3485496550128586,0.31032146126432977,0.34860666847956509 
 01/05  23:00:00,0.4510516771033539,0.3419263782972008,0.2028351278924779,0.34192637829720087,0.2028351278924779,0.9915083090136095,0.2774568496767836,0.31123730312250327,0.2771377613734575,0.3112718302395134 
 01/05  24:00:00,0.0,0.0,0.0,0.0,0.0,0.9915752356521218,0.2776202412136159,0.3114388874555316,0.27735141332020998,0.3114587798750885 
 01/06  01:00:00,0.0,0.0,0.0,0.0,0.0,0.9932373498169463,0.2940133120354728,0.3298444698405379,0.29378744774878237,0.32985172798713927 
 01/06  02:00:00,0.0,0.0,0.0,0.0,0.0,0.991773394767549,0.2709692679839828,0.3040149592259986,0.27081011604435475,0.3040118347261387 
 01/06  03:00:00,0.0,0.0,0.0,0.0,0.0,0.9921579684215258,0.2311883445759653,0.25940795410918379,0.2310927955861184,0.2593990044095831 
 01/06  04:00:00,0.0,0.0,0.0,0.0,0.0,0.9934707106022936,0.20533997069423305,0.230410104716525,0.205273067466476,0.23039726198472797 
 01/06  05:00:00,0.0,0.0,0.0,0.0,0.0,0.9908433506461392,0.19446605292086947,0.21821851178234678,0.19442416509629638,0.2182024717356479 
 01/06  06:00:00,0.0,0.0,0.0,0.0,0.0,0.989144574767569,0.19450730383829627,0.21827349183841159,0.19448613907088828,0.2182537309273762 
 01/06  07:00:00,0.9923136896273787,0.7522380322538417,0.4462372813634515,0.7522380322538419,0.4462372813634515,0.9879740624792404,0.44959713787017749,0.2586410210048916,0.23016740068359366,0.2586841208785797 
 01/06  08:00:00,1.8944170438340862,1.436090788848243,0.8519075371484072,1.4360907888482435,0.8519075371484072,0.9896861630644512,1.5739813982545926,0.05799378171223087,0.051604750894769148,0.05799465942247667 
 01/06  09:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,0.9973053718756724,0.28082927555460288,0.06723022190137822,0.05982449685645367,0.06723008627296712 
 01/06  10:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.013981250259388,0.2833409220041187,0.07066035260648858,0.06287806653024451,0.07065973281847617 
 01/06  11:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.0312267726610392,0.2761227471998516,0.06334854429136504,0.056372002058628769,0.06334779229296545 
 01/06  12:00:00,9.021033542067079,6.838527565944015,4.056702557849558,6.838527565944017,4.056702557849558,1.035184658156689,0.27516559121139347,0.06313588007081071,0.05618465377997502,0.06313461216238232 
 01/06  13:00:00,4.781147777295552,3.6244196099503287,2.1500523556602659,3.6244196099503296,2.1500523556602659,1.0335554332053423,1.5638272894177075,0.049639979450195447,0.044173575184793017,0.04963923218396841 
