Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/16  11:00:00,0.658457993,0.775727055,0.622566765,0.644639093,0.635305737
 01/16  12:00:00,0.611556892,0.736851629,0.577204102,0.596306923,0.600879786
 01/16  13:00:00,0.715854183,0.833029917,0.661666281,0.698856416,0.710509494
 01/16  14:00:00,0.682711425,0.794071358,0.601747144,0.642590814,0.681214615
 01/16  15:00:00,0.696232842,0.819178314,0.674420013,0.650814346,0.694600271
 01/16  16:00:00,0.890432753,1.005442853,0.936864161,0.86075459,0.887681758
 01/16  17:00:00,0.893469026,0.979335139,0.957515142,0.887071257,0.895783945
 01/16  18:00:00,0.680898385,0.777815088,0.782138352,0.714136802,0.681417965
 01/16  19:00:00,0.676854104,0.776650907,0.787989275,0.71236698,0.672005207
 01/16  20:00:00,2.424720373,2.589123121,2.583269428,2.493472551,2.417370146
 01/16  21:00:00,2.166604936,2.298703613,2.309750259,2.232327466,2.164774496
 01/16  22:00:00,2.113971242,2.253385901,2.244110564,2.172187183,2.11044549
 01/16  23:00:00,2.082933573,2.226664591,2.200967189,2.134057038,2.07819195
 01/16  24:00:00,2.086935682,2.222914254,2.187340337,2.129364915,2.081582452
 01/17  01:00:00,0,0.000385093,0,0,0
 01/17  02:00:00,0,0,0,0,0
 01/17  03:00:00,0,0,0,0,0
 01/17  04:00:00,0,0,0,0,0
 01/17  05:00:00,0,0,0,0,0
 01/17  06:00:00,0,0,0,0,0
 01/17  07:00:00,0,0,0,0,0
 01/17  08:00:00,0,0,0,0,0
 01/17  09:00:00,0,0,0,0,0
 01/17  10:00:00,0,0,0,0,0
 01/17  11:00:00,0,0,0,0,0
 01/17  12:00:00,0,0,0,0,0
 01/17  13:00:00,0,0,0,0,0
 01/17  14:00:00,0,0,0,0,0
 01/17  15:00:00,0,0.01261786,0.022333835,0,0
 01/17  16:00:00,0,0.063104339,0.161463215,0,0
 01/17  17:00:00,0,0.073091573,0.25681593,0,0.005994174
 01/17  18:00:00,0,0.054220753,0.263454898,0,0.006735142
 01/17  19:00:00,0,0,0.174513372,0,0
 01/17  20:00:00,0,0.003697847,0.118013322,0,0.002590539
 01/17  21:00:00,0,0,0.075646636,0,0
 01/17  22:00:00,0,0,0.050739946,0,0
 01/17  23:00:00,0,0,0.030882652,0,0
 01/17  24:00:00,0,0,0.008613229,0,0
 01/18  01:00:00,0,0,0,0,0
 01/18  02:00:00,0,0,0,0,0
 01/18  03:00:00,0,0,0,0,0
 01/18  04:00:00,0,0,0,0,0
 01/18  05:00:00,0,0,0,0,0
 01/18  06:00:00,0,0,0,0,0
 01/18  07:00:00,0,0,0,0,0
 01/18  08:00:00,0,0,0,0,0
 01/18  09:00:00,0,0,0,0,0
 01/18  10:00:00,0,0,0,0,0
 01/18  11:00:00,0,0,0,0,0
 01/18  12:00:00,0,0,0,0,0
 01/18  13:00:00,0,0.001238389,0,0,0
 01/18  14:00:00,0,0.023251266,0,0,0
 01/18  15:00:00,0,0.072733795,0.005937583,0,0
 01/18  16:00:00,0,0.032871921,0.000739819,0,0
 01/18  17:00:00,0,0.050761721,0.028176397,0,0
 01/18  18:00:00,0,0.059874334,0.043194833,0,0
 01/18  19:00:00,0,0.001625093,0.00072917,0,0
 01/18  20:00:00,0,0,0,0,0
 01/18  21:00:00,0,0,0,0,0
 01/18  22:00:00,0,0,0,0,0
 01/18  23:00:00,0,0,0,0,0
 01/18  24:00:00,0,0,0,0,0
 01/19  01:00:00,0,0,0,0,0
 01/19  02:00:00,0,0,0,0,0
 01/19  03:00:00,0,0,0,0,0
 01/19  04:00:00,0,0,0,0,0
 01/19  05:00:00,0,0,0,0,0
 01/19  06:00:00,0,0,0,0,0
 01/19  07:00:00,0,0,0,0,0
 01/19  08:00:00,0,0,0,0,0
 01/19  09:00:00,0,0,0,0,0
 01/19  10:00:00,0,0,0,0,0
 01/19  11:00:00,0,0,0,0,0
 01/19  12:00:00,0,0,0,0,0
 01/19  13:00:00,0,0,0,0,0
 01/19  14:00:00,0,0,0,0,0
 01/19  15:00:00,0,0,0,0,0
 01/19  16:00:00,0,0.026963607,0,0,0
 01/19  17:00:00,0,0.018007078,0,0,0
 01/19  18:00:00,0,0,0,0,0
 01/19  19:00:00,0,0.002771269,0,0,0
 01/19  20:00:00,0,0,0,0,0
 01/19  21:00:00,0,0,0,0,0
 01/19  22:00:00,0,0,0,0,0
 01/19  23:00:00,0,0,0,0,0
 01/19  24:00:00,0,0,0,0,0
 01/20  01:00:00,2.651087674,2.826575111,2.62855749,2.62634449,2.622371138
 01/20  02:00:00,2.350377113,2.476124097,2.330011217,2.333257528,2.330863692
 01/20  03:00:00,2.343828225,2.471047411,2.324318343,2.326496571,2.324728602
