Date/Time,S1 OFFICE BACK:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Hybrid Model Air Change Rate [ach](Hourly)
 01/05  11:00:00,0.741365404,0.686789294,0.742988774,0.74160286,0.741873415
 01/05  12:00:00,1.58811388,1.293676254,1.58883824,1.588111358,1.588261772
 01/05  13:00:00,1.355543084,1.023040554,1.355816013,1.355513113,1.355281701
 01/05  14:00:00,0.874383712,0.78905632,0.874619182,0.874393933,0.874572201
 01/05  15:00:00,1.512444578,1.301849439,1.512080841,1.512552778,1.512226821
 01/05  16:00:00,1.551562088,1.34772954,1.551361278,1.55176273,1.551400443
 01/05  17:00:00,0.770151093,0.691392999,0.771522054,0.770567416,0.7705028
 01/05  18:00:00,1.45818446,1.3220315,1.456027322,1.457799618,1.457654984
 01/05  19:00:00,1.346691674,1.23404142,1.341861942,1.345116597,1.345749476
 01/05  20:00:00,3.461777401,3.259806596,3.454474749,3.459140743,3.460536819
 01/05  21:00:00,2.390850086,2.007513199,2.388210176,2.38986012,2.390357644
 01/05  22:00:00,2.726540292,2.479072912,2.723989246,2.72550661,2.726092016
 01/05  23:00:00,2.821057071,2.612382994,2.817461472,2.819605781,2.820423498
 01/05  24:00:00,2.397095642,2.163851353,2.394493514,2.396062206,2.396596874
 01/06  01:00:00,3.498270137,2.582456279,3.496086364,3.497306801,3.498061428
 01/06  02:00:00,3.259705418,2.570159407,3.257972527,3.258906878,3.259488718
 01/06  03:00:00,2.309124354,1.500332742,2.306317427,2.307102174,2.308746127
 01/06  04:00:00,3.76684796,0,3.762595735,3.764891118,3.766115288
 01/06  05:00:00,4.247344765,2.921896071,4.243211523,4.245787664,4.246810788
 01/06  06:00:00,2.66056929,2.067285859,2.657049598,2.659137214,2.65996521
 01/06  07:00:00,2.341487868,2.132219597,2.340774986,2.341192964,2.341376151
 01/06  08:00:00,0.426859779,0.33778846,0.426620226,0.426803944,0.426744128
 01/06  09:00:00,0.204073106,0.145508903,0.206126174,0.204710229,0.204714827
 01/06  10:00:00,1.348528458,1.077703849,1.349917615,1.348877917,1.349075101
 01/06  11:00:00,0.53669016,0.525133012,0.539448239,0.537248447,0.537473445
 01/06  12:00:00,1.50953205,1.212779568,1.510627917,1.509615279,1.50977851
 01/06  13:00:00,1.344219704,0.995967481,1.344554778,1.34419484,1.344027018
 01/06  14:00:00,0.921148786,0.835491978,0.921545773,0.921211186,0.921321032
 01/06  15:00:00,1.506925708,1.313547833,1.506505368,1.506973104,1.506636076
 01/06  16:00:00,1.620493973,1.431473457,1.619750248,1.620481075,1.620198639
 01/06  17:00:00,0.870542475,0.773628028,0.871023644,0.870614286,0.870759423
 01/06  18:00:00,1.381276672,1.251567211,1.379566491,1.380989359,1.380747941
 01/06  19:00:00,0.919561594,0.870234945,0.917604081,0.919150174,0.919023287
 01/06  20:00:00,2.877098051,2.725022249,2.872919197,2.876162571,2.875952863
 01/06  21:00:00,2.464671996,2.025462095,2.463343325,2.464417189,2.46432336
 01/06  22:00:00,2.842952087,2.591621127,2.841171927,2.84259388,2.842444687
 01/06  23:00:00,1.576818397,1.675167863,1.576175494,1.576704258,1.576777344
 01/06  24:00:00,6.015583307,5.847950435,6.013482867,6.015084613,6.014682777
 01/07  01:00:00,4.376147388,4.209677367,4.376277074,4.376558297,4.375804645
 01/07  02:00:00,3.570328455,6.316260758,3.570237244,3.570194308,3.57013133
 01/07  03:00:00,3.328140068,4.113982047,3.327801112,3.328067415,3.327840769
 01/07  04:00:00,4.014663208,2.324990335,4.013130753,4.014301948,4.014192272
 01/07  05:00:00,4.341868506,4.712614364,4.340048996,4.341554359,4.341309454
 01/07  06:00:00,2.339089233,2.481334725,2.330324881,2.337272337,2.336753212
 01/07  07:00:00,2.175102302,1.906868608,2.175033038,2.17509718,2.175075386
 01/07  08:00:00,0.67715341,0.503152575,0.677475083,0.677229383,0.677255157
 01/07  09:00:00,1.103378907,0.986493777,1.103325328,1.103349124,1.103358195
 01/07  10:00:00,1.559495447,1.344638011,1.559328646,1.559487732,1.559477589
 01/07  11:00:00,1.008506892,0.920437756,1.008552375,1.008512514,1.008518964
 01/07  12:00:00,1.542505853,1.313256771,1.542471021,1.542530295,1.54251173
