Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly) 
 04/25  13:00:00,41228423.6426288,0.0,41228423.6426288 
 04/25  14:00:00,42288188.18122487,0.0,42288188.181224878 
 04/25  15:00:00,43158029.81792026,0.0,43158029.81792026 
 04/25  16:00:00,43536230.05301341,0.0,43536230.05301341 
 04/25  17:00:00,29618479.70387385,0.0,29618479.70387385 
 04/25  18:00:00,20403091.58069133,0.0,20403091.580691328 
 04/25  19:00:00,15811631.289526338,0.0,15811631.289526333 
 04/25  20:00:00,16772092.40304857,0.0,16772092.403048568 
 04/25  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/25  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/25  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/25  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/26  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/26  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/26  03:00:00,18192654.45740009,0.0,18192654.457400085 
 04/26  04:00:00,18642654.45740009,0.0,18642654.457400089 
 04/26  05:00:00,19633023.90063898,0.0,19633023.900638977 
 04/26  06:00:00,31735765.094575265,3169021.397974047,31735765.09457526 
 04/26  07:00:00,35037818.306079629,0.0,35037818.306079629 
 04/26  08:00:00,41893296.62595801,0.0,41893296.62595801 
 04/26  09:00:00,40514196.79089687,0.0,40514196.79089686 
 04/26  10:00:00,40638817.871148388,0.0,40638817.871148388 
 04/26  11:00:00,40616307.122176367,0.0,40616307.122176367 
 04/26  12:00:00,37482571.314850468,0.0,37482571.31485046 
 04/26  13:00:00,41744548.52448477,0.0,41744548.52448477 
 04/26  14:00:00,42734165.30764719,0.0,42734165.30764719 
 04/26  15:00:00,43364206.98446895,0.0,43364206.98446895 
 04/26  16:00:00,43363433.94638817,0.0,43363433.94638817 
 04/26  17:00:00,29531826.76061354,0.0,29531826.760613543 
 04/26  18:00:00,20403091.58069133,0.0,20403091.580691328 
 04/26  19:00:00,15811631.289526338,0.0,15811631.289526333 
 04/26  20:00:00,16772092.40304857,0.0,16772092.403048568 
 04/26  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/26  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/26  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/26  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/27  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/27  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/27  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/27  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/27  05:00:00,17752623.90063898,0.0,17752623.900638977 
 04/27  06:00:00,28074825.056949919,0.0,28074825.056949915 
 04/27  07:00:00,32157859.568956239,0.0,32157859.568956239 
 04/27  08:00:00,41913062.2621081,0.0,41913062.2621081 
 04/27  09:00:00,40881349.583186548,0.0,40881349.583186548 
 04/27  10:00:00,40317400.29423007,0.0,40317400.29423007 
 04/27  11:00:00,40114528.72272838,0.0,40114528.72272838 
 04/27  12:00:00,39771735.07939086,0.0,39771735.07939086 
 04/27  13:00:00,40092946.30099498,0.0,40092946.30099498 
 04/27  14:00:00,40302539.06790213,0.0,40302539.06790213 
 04/27  15:00:00,40446506.38597581,0.0,40446506.38597581 
 04/27  16:00:00,40535472.66873235,0.0,40535472.668732348 
 04/27  17:00:00,32226439.69786347,0.0,32226439.697863476 
 04/27  18:00:00,23392747.201380478,0.0,23392747.201380474 
 04/27  19:00:00,15811631.289526338,0.0,15811631.289526333 
 04/27  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/27  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/27  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/27  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/27  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/28  01:00:00,17742654.45740009,0.0,17742654.457400085 
 04/28  02:00:00,17742654.45740009,0.0,17742654.457400085 
 04/28  03:00:00,17742654.45740009,0.0,17742654.457400085 
 04/28  04:00:00,17742654.45740009,0.0,17742654.457400085 
 04/28  05:00:00,17752623.90063898,0.0,17752623.900638977 
 04/28  06:00:00,25122871.499520795,0.0,25122871.499520787 
 04/28  07:00:00,30296841.22598403,0.0,30296841.225984027 
 04/28  08:00:00,41520152.90349398,0.0,41520152.90349398 
 04/28  09:00:00,41095554.01619944,0.0,41095554.01619943 
 04/28  10:00:00,41086011.930424738,0.0,41086011.930424738 
 04/28  11:00:00,41030810.34518591,0.0,41030810.34518591 
 04/28  12:00:00,41179298.587771218,0.0,41179298.587771218 
 04/28  13:00:00,40520236.85064031,0.0,40520236.8506403 
 04/28  14:00:00,40464432.73318098,0.0,40464432.73318098 
 04/28  15:00:00,40354555.30540707,0.0,40354555.30540707 
 04/28  16:00:00,40229655.305461827,0.0,40229655.30546181 
 04/28  17:00:00,32313145.65698493,0.0,32313145.656984927 
 04/28  18:00:00,24493237.998088156,0.0,24493237.99808815 
 04/28  19:00:00,14831231.289526338,0.0,14831231.289526336 
 04/28  20:00:00,16772092.40304857,0.0,16772092.40304857 
 04/28  21:00:00,16772092.40304857,0.0,16772092.40304857 
 04/28  22:00:00,14989427.405195989,0.0,14989427.405195989 
 04/28  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/28  24:00:00,17742654.45740009,0.0,17742654.457400085 
 04/29  01:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  02:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  03:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  04:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  05:00:00,13018657.961957103,0.0,13018657.961957103 
 04/29  06:00:00,8116657.961957103,0.0,8116657.961957104 
 04/29  07:00:00,8116657.961957103,0.0,8116657.961957104 
 04/29  08:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  09:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  10:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  11:00:00,8116657.961957103,0.0,8116657.961957104 
 04/29  12:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  13:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  14:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  15:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  16:00:00,8116657.961957103,0.0,8116657.961957104 
 04/29  17:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  18:00:00,8116657.961957103,0.0,8116657.961957103 
 04/29  19:00:00,10077457.961957103,0.0,10077457.961957103 
 04/29  20:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  21:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  22:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/29  24:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  01:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  02:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  03:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  04:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  05:00:00,13018657.961957103,0.0,13018657.961957103 
 04/30  06:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  07:00:00,8116657.961957103,0.0,8116657.961957103 
 04/30  08:00:00,8116657.961957103,0.0,8116657.961957103 
 04/30  09:00:00,8116657.961957103,0.0,8116657.961957103 
 04/30  10:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  11:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  12:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  13:00:00,8116657.961957103,0.0,8116657.961957103 
 04/30  14:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  15:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  16:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  17:00:00,8116657.961957103,0.0,8116657.961957104 
 04/30  18:00:00,8116657.961957103,0.0,8116657.961957103 
 04/30  19:00:00,10077457.961957103,0.0,10077457.961957103 
 04/30  20:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  21:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  22:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  23:00:00,13999057.961957103,0.0,13999057.961957103 
 04/30  24:00:00,13999057.961957103,0.0,13999057.961957103 
 05/01  01:00:00,17742654.45740009,0.0,17742654.457400085 
 05/01  02:00:00,17742654.45740009,0.0,17742654.457400085 
 05/01  03:00:00,17742654.45740009,0.0,17742654.457400085 
 05/01  04:00:00,17742654.45740009,0.0,17742654.457400085 
 05/01  05:00:00,17752623.90063898,0.0,17752623.900638977 
 05/01  06:00:00,27639828.065712409,0.0,27639828.065712405 
 05/01  07:00:00,28614291.09161582,0.0,28614291.091615816 
 05/01  08:00:00,39893562.22363258,0.0,39893562.22363259 
 05/01  09:00:00,39893562.22363258,0.0,39893562.22363258 
 05/01  10:00:00,39970571.50597594,0.0,39970571.50597594 
 05/01  11:00:00,40384320.08581152,0.0,40384320.08581152 
 05/01  12:00:00,37945373.28046572,0.0,37945373.28046572 
 05/01  13:00:00,42649294.52040614,0.0,42649294.52040614 
 05/01  14:00:00,43197691.74818688,0.0,43197691.74818688 
 05/01  15:00:00,43718136.78164564,0.0,43718136.78164564 
 05/01  16:00:00,44170232.791643228,0.0,44170232.791643228 
 05/01  17:00:00,29561797.660881469,0.0,29561797.660881469 
 05/01  18:00:00,20403091.58069133,0.0,20403091.58069133 
 05/01  19:00:00,14831231.289526338,0.0,14831231.289526336 
 05/01  20:00:00,16772092.40304857,0.0,16772092.403048566 
 05/01  21:00:00,16772092.40304857,0.0,16772092.40304857 
 05/01  22:00:00,14989427.405195989,0.0,14989427.405195989 
 05/01  23:00:00,13999057.961957103,0.0,13999057.961957103 
 05/01  24:00:00,17742654.45740009,0.0,17742654.457400085 
 05/02  01:00:00,17742654.45740009,0.0,17742654.457400085 
 05/02  02:00:00,17742654.45740009,0.0,17742654.457400085 
 05/02  03:00:00,17742654.45740009,0.0,17742654.457400085 
 05/02  04:00:00,17742654.45740009,0.0,17742654.457400085 
 05/02  05:00:00,17752623.90063898,0.0,17752623.900638977 
 05/02  06:00:00,24380858.852323515,0.0,24380858.852323515 
 05/02  07:00:00,28557922.01728993,0.0,28557922.01728993 
 05/02  08:00:00,39926430.42847943,0.0,39926430.42847943 
 05/02  09:00:00,40227952.07108617,0.0,40227952.07108617 
 05/02  10:00:00,41560380.15702705,0.0,41560380.15702704 
 05/02  11:00:00,44923776.87728678,0.0,44923776.87728678 
 05/02  12:00:00,42871051.339851457,0.0,42871051.339851457 
 05/02  13:00:00,48776441.4565655,0.0,48776441.45656549 
 05/02  14:00:00,50531160.27874546,0.0,50531160.27874545 
 05/02  15:00:00,51515087.00325401,0.0,51515087.00325401 
 05/02  16:00:00,51243758.514438178,0.0,51243758.51443817 
 05/02  17:00:00,35499881.02698567,0.0,35499881.02698567 
 05/02  18:00:00,20403091.58069133,0.0,20403091.58069133 
 05/02  19:00:00,14831231.289526338,0.0,14831231.289526336 
 05/02  20:00:00,16772092.40304857,0.0,16772092.403048564 
 05/02  21:00:00,16772092.40304857,0.0,16772092.403048568 
 05/02  22:00:00,14989427.405195989,0.0,14989427.405195989 
 05/02  23:00:00,13999057.961957103,0.0,13999057.961957103 
 05/02  24:00:00,17742654.45740009,0.0,17742654.457400085 
 05/03  01:00:00,17742654.45740009,0.0,17742654.457400085 
 05/03  02:00:00,17742654.45740009,0.0,17742654.457400085 
 05/03  03:00:00,17742654.45740009,0.0,17742654.457400085 
 05/03  04:00:00,17742654.45740009,0.0,17742654.457400085 
 05/03  05:00:00,17752623.90063898,0.0,17752623.900638977 
 05/03  06:00:00,22392639.86438003,0.0,22392639.864380029 
