Date/Time,Baseline - Electricity:Facility [J](Hourly),Baseline - Gas:Facility [J](Hourly) ,Calibrating - Electricity:Facility [J](Hourly),Calibrating - Gas:Facility [J](Hourly) ,Target - Electricity:Facility [J](Hourly),Target - Gas:Facility [J](Hourly) 
 01/07  11:00:00,107435883.6,12311641.33,118610599.6,107399062,105272079.3,84024557.12
 01/07  12:00:00,107435883.6,9828051.149,118610599.6,110274261.1,105272079.3,45553923.71
 01/07  13:00:00,113137309.8,4873570.691,118610599.6,29701882.31,105272079.3,16162941.72
 01/07  14:00:00,107435883.6,10678182.54,118610599.6,117297409.2,105272079.3,85895434.47
 01/07  15:00:00,107435883.6,10675412.25,118610599.6,119288402.7,105272079.3,48052096.5
 01/07  16:00:00,107435883.6,9037100.703,118610599.6,117281758,105272079.3,46326946.42
 01/07  17:00:00,107435883.6,10770748.25,118610599.6,118132640.5,105272079.3,87114182.89
 01/07  18:00:00,91963806.77,3271621.922,94646404.44,14969029.31,87607411.28,27893315.15
 01/07  19:00:00,77061899.76,3271281.822,79740131.18,3637111.935,74647423.82,10260643.92
 01/07  20:00:00,73501177.06,3270810.684,78066973.58,20300118.68,74647423.82,46691460.92
 01/07  21:00:00,59192392.51,9706400.677,62773232.63,30061949.57,60877444.67,60608527.51
 01/07  22:00:00,59192392.51,12857380.4,62773232.63,34589340.27,60877444.67,64442882.79
 01/07  23:00:00,45316022.84,21347857.03,47509226,41935239.18,47107465.53,76439241.94
 01/07  24:00:00,38377838.01,27419628.66,39877222.68,49931541.51,40222475.95,87147060.65
 01/08  01:00:00,34633452.83,1671342.806,35327271.32,1854128.749,34580257.57,1765132.247
 01/08  02:00:00,34633452.83,1671312.798,35327271.32,1854095.333,34580257.57,3458356.955
 01/08  03:00:00,34633452.83,1671285.578,35327271.32,1854065.017,34580257.57,1765228.148
 01/08  04:00:00,34633452.83,1671256.375,35327271.32,1854032.487,34580257.57,3458288.826
 01/08  05:00:00,34633452.83,1671227.637,35327271.32,1854000.481,34580257.57,1765207.639
 01/08  06:00:00,45316022.84,42089648.29,47509226,68306058.58,47107465.53,113700890.9
 01/08  07:00:00,45316022.84,43510153.74,47509226,75323139.69,47107465.53,118140401.1
 01/08  08:00:00,63837006.18,26876268.65,68805483.26,59732276.52,65415667.82,79421462.93
 01/08  09:00:00,107435883.6,46220102.83,118610599.6,155618469.8,105272079.3,84096416.16
 01/08  10:00:00,107435883.6,38923082.33,118610599.6,151298702.9,105272079.3,134050237.7
 01/08  11:00:00,107435883.6,35742494.82,118610599.6,152409834.4,105272079.3,115906485.4
 01/08  12:00:00,107435883.6,26903427.71,118610599.6,142614662.3,105272079.3,89419540.5
 01/08  13:00:00,110847019.5,6472862.28,118610599.6,49354424.47,105272079.3,35828771.66
 01/08  14:00:00,107435883.6,20488623.21,118610599.6,137165531.3,105272079.3,98272724.66
 01/08  15:00:00,107435883.6,14925734.28,118610599.6,129011550,105272079.3,70893128.68
 01/08  16:00:00,107435883.6,14530321.36,118610599.6,125982570.2,105272079.3,83652964.27
 01/08  17:00:00,107435883.6,18743520.49,118610599.6,129061029.2,105272079.3,71815880.61
 01/08  18:00:00,90425920.12,1671799.029,94576005.67,22749724.58,87607411.28,54881201.66
 01/08  19:00:00,75605701.14,3271444.242,78158656.35,5594684.865,74647423.82,19679871.99
 01/08  20:00:00,73194647.87,9187871.11,78037239.26,30500785.59,74647423.82,61044987.93
 01/08  21:00:00,59192392.51,18748630.98,62773232.63,43358291.92,60877444.67,81499373.26
 01/08  22:00:00,59192392.51,23625458.12,62773232.63,49292760.04,60877444.67,82933505.74
 01/08  23:00:00,45316022.84,26984515.95,47509226,49644892.73,47107465.53,89438045.77
 01/08  24:00:00,38377838.01,32244709.38,39877222.68,55985985.21,40222475.95,94463194.98
 01/09  01:00:00,34633452.83,1671282.152,35327271.32,1854061.324,34580257.57,1765177.739
 01/09  02:00:00,34633452.83,1671253.074,35327271.32,1854028.93,34580257.57,3458314.06
 01/09  03:00:00,34633452.83,1671392.515,35327271.32,1854184.215,34580257.57,1765146.645
 01/09  04:00:00,34633452.83,3270731.689,35327271.32,3636309.058,34580257.57,1765233.548
 01/09  05:00:00,34633452.83,1671327.983,35327271.32,1854112.362,34580257.57,3458302.634
 01/09  06:00:00,45316022.84,42578855.61,47509226,68904329.74,47107465.53,114750530.1
 01/09  07:00:00,45316022.84,45279383.05,47509226,77566948.67,47107465.53,120021545.4
 01/09  08:00:00,63837006.18,30064410.28,68805483.26,64504028.12,65415667.82,85146720.41
 01/09  09:00:00,107435883.6,52849456.86,118610599.6,168258716,105272079.3,103974818.9
 01/09  10:00:00,107435883.6,48897438.09,118610599.6,169159436.6,105272079.3,127141980.5
 01/09  11:00:00,107435883.6,41533116.27,118610599.6,162622424.8,105272079.3,118558231.2
 01/09  12:00:00,107435883.6,34510478.64,118610599.6,153660503.8,105272079.3,121030858.8
 01/09  13:00:00,110029011.9,4873752.304,118610599.6,52680607.88,105272079.3,36193730.72
 01/09  14:00:00,107435883.6,19719815.23,118610599.6,133470904.9,105272079.3,93989754.98
 01/09  15:00:00,107435883.6,13827824.12,118610599.6,126111196.9,105272079.3,101246072.5
 01/09  16:00:00,107435883.6,17248189.93,118610599.6,134785862.9,105272079.3,53756041.38
 01/09  17:00:00,107435883.6,23656302.68,118610599.6,144171590.7,105272079.3,77030614.3
 01/09  18:00:00,90033579.75,3271818.569,94576005.67,29059548.07,87607411.28,81449314.82
 01/09  19:00:00,75153235.19,3271248.165,78103153.27,9182729.609,74647423.82,24579942.93
 01/09  20:00:00,73137523,10999388.9,78037239.26,34599329.74,74647423.82,69266344.29
 01/09  21:00:00,59192392.51,23332140.7,62773232.63,49198539.24,60877444.67,86851920.81
 01/09  22:00:00,59192392.51,23932671.55,62773232.63,49880985.11,60877444.67,85527211.12
 01/09  23:00:00,45316022.84,28445930.67,47509226,51506370.08,47107465.53,91281445.87
 01/09  24:00:00,38377838.01,33142100.05,39877222.68,56838167.57,40222475.95,94660515.8
 01/10  01:00:00,34633452.83,3270707.852,35327271.32,3636303.082,34580257.57,1765206.645
 01/10  02:00:00,34633452.83,1671266.415,35327271.32,1854043.739,34580257.57,3458327.771
 01/10  03:00:00,34633452.83,1671212.991,35327271.32,1853984.244,34580257.57,1765125.311
 01/10  04:00:00,34633452.83,1671323.469,35327271.32,1854107.274,34580257.57,1765189.358
 01/10  05:00:00,34633452.83,1671261.452,35327271.32,1854038.203,34580257.57,3458275.417
 01/10  06:00:00,38377838.01,9750084.799,39877222.68,20309371.59,40222475.95,22246944.22
 01/10  07:00:00,45316022.84,10327469.79,47509226,25465553.98,47107465.53,23570830.64
 01/10  08:00:00,36084266.84,7915909.956,38277470,22395002,37875709.53,19906333.95
 01/10  09:00:00,45373494.18,4050446.359,50341971.26,31724795.71,46952155.82,24022626.4
 01/10  10:00:00,46082525.31,3271254.885,50341971.26,25459104.24,46952155.82,15574987
 01/10  11:00:00,47455649.74,3271348.648,50341971.26,19618917.75,47007774.79,5148615.136
 01/10  12:00:00,49126016.81,1671689.499,50341971.26,9443139.659,49152256.3,5154056.981
 01/10  13:00:00,29982764.29,3271347.218,31547175.56,3636995.035,32752844,3459426.913
 01/10  14:00:00,30285404.32,3271042.403,31780238.72,3636655.464,32985681.68,5153584.687
 01/10  15:00:00,29946202.14,1671607.65,31248839.97,1854423.797,32305763.79,3459332.612
 01/10  16:00:00,29012765.11,1671516.419,29940327.23,1854322.135,30817929.13,3459158.711
 01/10  17:00:00,27867859.72,3271165.951,28342748.96,3636792.628,29137638.2,3459314.996
 01/10  18:00:00,39737015.74,1671300.086,39973378.79,3871386.312,40891526.26,1765196.725
 01/10  19:00:00,38467918.84,1671317.726,39877222.68,10019769.11,40222475.95,6708276.542
 01/10  20:00:00,34633452.83,3270710.259,35327271.32,3636403.669,34580257.57,1765207.044
 01/10  21:00:00,34633452.83,1671382.157,35327271.32,1854172.8,34580257.57,3458411.937
 01/10  22:00:00,34633452.83,1671491.978,35327271.32,1854295.175,34580257.57,1765367.709
 01/10  23:00:00,34633452.83,1671273.367,35327271.32,1854051.602,34580257.57,3458382.827
 01/10  24:00:00,34633452.83,3270487.57,35327271.32,3636037.318,34580257.57,1765109.566
 01/11  01:00:00,34633452.83,1671360.175,35327271.32,1854148.253,34580257.57,1765162.671
 01/11  02:00:00,34633452.83,1671328.372,35327271.32,1854112.844,34580257.57,3458227.179
 01/11  03:00:00,34633452.83,1671295.411,35327271.32,1854076.139,34580257.57,1765196.717
