Date/Time,S1 OFFICE BACK:Zone Hybrid Model People Count [](Hourly),S1 OFFICE CORE:Zone Hybrid Model People Count [](Hourly),S1 OFFICE FRONT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE LEFT:Zone Hybrid Model People Count [](Hourly),S1 OFFICE RIGHT:Zone Hybrid Model People Count [](Hourly),OFFICE_BACK_Zone Ground Truth,OFFICE_CORE_Zone Ground Truth,OFFICE_FRONT_Zone Ground Truth,OFFICE_LEFT_Zone Ground Truth,OFFICE_RIGHT_Zone Ground Truth
 12/22  16:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/22  17:00:00,0,0,0,0,0,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 12/22  18:00:00,0,0,0,0,0,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 12/22  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/22  20:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/22  21:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/22  22:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/22  23:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/22  24:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/23  01:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  02:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  03:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  04:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  05:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  06:00:00,0,0,0,0,0,0,0,0,0,0
 12/23  07:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/23  08:00:00,5.249487714,19.79313492,5.194678239,3.268599306,3.269701196,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376
 12/23  09:00:00,7.451550878,23.65714813,8.076457202,4.740732199,5.168323415,15.07772668,54.17507174,15.07772668,9.434687517,9.434687517
 12/23  10:00:00,2.407153899,1.903951108,3.593643468,1.643090448,2.170131153,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/23  11:00:00,8.915652182,24.25476034,11.55473308,5.715481761,6.538575056,17.53224032,62.99426947,17.53224032,10.97056688,10.97056688
 12/23  12:00:00,1.874585642,0.381533689,7.663550008,1.257749267,1.406993478,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/23  13:00:00,0,0,1.377195554,0,0,8.064830547,28.97736396,8.064830547,5.046460765,5.046460765
 12/23  14:00:00,1.080804775,0.717298905,3.219033818,2.451896683,0.915361948,16.83095071,60.47449869,16.83095071,10.5317442,10.5317442
 12/23  15:00:00,0,0,0,0,0,12.44789063,44.72593132,12.44789063,7.789102485,7.789102485
 12/23  16:00:00,0,0,0,0,0,11.92192342,42.83610324,11.92192342,7.459985478,7.459985478
 12/23  17:00:00,0,0,0,0,0,16.6556283,59.844556,16.6556283,10.42203854,10.42203854
 12/23  18:00:00,0,0,0,0,0,6.311606515,22.67793701,6.311606515,3.949404077,3.949404077
 12/23  19:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/23  20:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/23  21:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/23  22:00:00,0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688
 12/23  23:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
 12/23  24:00:00,0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344
