S1 OFFICE BACK:Zone Hybrid Model People Count,S1 OFFICE CORE:Zone Hybrid Model People Count,S1 OFFICE FRONT:Zone Hybrid Model People Count,S1 OFFICE LEFT:Zone Hybrid Model People Count,S1 OFFICE RIGHT:Zone Hybrid Model People Count,S1 OFFICE BACK:Zone People Occupant Count,S1 OFFICE CORE:Zone People Occupant Count,S1 OFFICE FRONT:Zone People Occupant Count,S1 OFFICE LEFT:Zone People Occupant Count,S1 OFFICE RIGHT:Zone People Occupant Count,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.77,2.78,0.77,0.48,0.48,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
2.19,7.87,2.19,1.37,1.37,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
2.19,7.87,2.19,1.37,1.37,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
2.19,7.87,2.19,1.37,1.37,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
1.72,6.19,1.72,1.08,1.08,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
2.19,7.87,2.19,1.37,1.37,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
1.69,6.08,1.69,1.06,1.06,3.506448064,12.59885389,3.506448064,2.194113376,2.194113376,,,,,
9.81,35.26,9.81,6.14,6.14,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
8.97,32.22,8.97,5.62,5.62,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
5.39,19.34,5.39,3.37,3.37,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
6.6,23.7,6.6,4.13,4.13,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
5.98,21.46,5.98,3.74,3.74,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
5.63,20.21,5.63,3.52,3.52,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
10.22,36.71,10.22,6.4,6.4,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
7.8,28.02,7.8,4.88,4.88,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
7.49,26.9,7.49,4.69,4.69,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
7.41,26.6,7.41,4.64,4.63,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
7.3,26.23,7.3,4.57,4.57,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.59,23.68,6.59,4.13,4.13,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.61,23.74,6.61,4.14,4.13,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.53,23.45,6.53,4.09,4.09,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.52,23.41,6.51,4.08,4.08,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.28,22.56,6.28,3.93,3.93,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
5.82,20.92,5.82,3.64,3.64,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
6.14,22.06,6.14,3.84,3.84,14.4014731,51.74525678,14.4014731,9.011530811,9.011530811,,,,,
9.52,34.21,9.52,5.96,5.96,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
6.71,24.1,6.71,4.2,4.2,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
7.3,26.24,7.3,4.57,4.57,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
6.98,25.07,6.98,4.37,4.37,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
6.73,24.19,6.73,4.21,4.21,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
7.27,26.14,7.27,4.55,4.55,16.27992993,58.4946518,16.27992993,10.18695026,10.18695026,,,,,
0,0,0,0,0,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
3.34,12.05,3.34,2.09,2.09,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
0.41,1.51,0.41,0.26,0.26,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
0.46,1.69,0.46,0.29,0.29,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
1.66,5.99,1.66,1.04,1.04,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
1.65,5.96,1.65,1.03,1.03,7.513809766,26.99751706,7.513809766,4.701666818,4.701666818,,,,,
10.41,37.39,10.41,6.51,6.51,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
6.04,21.7,6.04,3.78,3.78,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
7.78,27.97,7.78,4.87,4.87,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
7.59,27.28,7.59,4.75,4.75,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
7.85,28.22,7.85,4.91,4.91,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
6.72,24.15,6.72,4.21,4.21,15.65376596,56.24481146,15.65376596,9.795136462,9.795136462,,,,,
10.41,37.39,10.41,6.51,6.51,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
7.74,27.8,7.73,4.84,4.84,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
8.05,28.93,8.05,5.04,5.04,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
8.09,29.09,8.09,5.06,5.06,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
7.91,28.43,7.91,4.95,4.95,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
7.12,25.6,7.12,4.46,4.46,17.53222279,62.99420648,17.53222279,10.97055591,10.97055591,,,,,
0,0,0,0,0,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
5.13,18.47,5.13,3.21,3.21,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
2.73,9.82,2.73,1.7,1.7,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
2.75,9.92,2.75,1.72,1.72,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
3.43,12.37,3.44,2.15,2.15,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
3.99,14.37,3.99,2.5,2.5,11.27070588,40.49624409,11.27070588,7.052494742,7.052494742,,,,,
5.94,21.39,5.95,3.72,3.72,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
4.36,15.69,4.36,2.73,2.73,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
4.77,17.15,4.77,2.98,2.98,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
4.82,17.32,4.82,3.01,3.01,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
4.95,17.82,4.96,3.1,3.1,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
5.04,18.12,5.04,3.15,3.15,12.52301628,44.99586177,12.52301628,7.836111364,7.836111364,,,,,
2.38,8.57,2.38,1.49,1.49,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
3.29,11.81,3.29,2.06,2.06,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
3.2,11.54,3.2,2,2,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
3.29,11.81,3.29,2.06,2.06,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
3.29,11.81,3.29,2.06,2.06,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
3.29,11.81,3.29,2.06,2.06,10.64455945,38.24646675,10.64455945,6.660691917,6.660691917,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.13,0.47,0.13,0.08,0.08,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.38,1.38,0.38,0.24,0.24,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.3,1.09,0.3,0.19,0.19,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.62,2.21,0.62,0.38,0.38,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0.07,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.51,1.82,0.51,0.32,0.32,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.2,0.71,0.2,0.12,0.12,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.07,0.25,0.07,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
1.1,3.94,1.1,0.69,0.69,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.76,2.74,0.76,0.48,0.48,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0.21,0.74,0.21,0.13,0.13,1.753224032,6.299426947,1.753224032,1.097056688,1.097056688,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.55,1.97,0.55,0.34,0.34,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.55,1.97,0.55,0.34,0.34,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.54,1.95,0.54,0.34,0.34,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.55,1.97,0.55,0.34,0.34,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.51,1.83,0.51,0.32,0.32,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0.55,1.97,0.55,0.34,0.34,0.876612016,3.149713474,0.876612016,0.548528344,0.548528344,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
0,0,0,0,0,0,0,0,0,0,,,,,
