Target_Electricity_J,Target_Gas_J,Uncalibrated_Electricity_J,Uncalibrated_Gas_J
7707682.218,0,7847871.531,0
7675362.374,0,7815283.088,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
3275471.882,0,3275471.882,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2945348.734,0,2945348.734,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2648237.901,0,2648237.901,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
2483176.327,0,2483176.327,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3107109.076,0,3107109.076,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
3272170.65,0,3272170.65,0
9880036.926,8747919.66,10267234.7,9978299.43
9900819.441,7605314.486,10113754.48,9248052.615
10572516.12,3311952.403,10698512.06,4617710.332
10327995.98,2358594.224,10527659.8,3583244.78
10155510.19,1852321.62,10404349.48,2833734.786
10044294.71,1618208.538,10322265.26,2471543.532
10471975.98,3810505.525,10529543.65,3796363.689
10506843.25,3574193.779,10558760.69,3553806.802
9390042.001,3313886.274,9438911.516,3288539.011
9265908.138,3104281.644,9313268.949,3075812.753
9191969.407,2918290.718,9237384.449,2888062.917
9126231.057,2752209.691,9170168.959,2721317.865
10892940.39,0,10751437.45,0
10811648.23,0,10651193.5,0
10726015.55,0,10550524.14,0
10638260.52,0,10448563.97,0
10562129.18,0,10359062.79,0
10496188.86,0,10280359.22,0
10375925,0,10156073.54,0
10260159.42,0,10036754.55,0
10151485.36,0,9923601.828,0
10060562.04,0,9828554.306,0
9974933.299,0,9739621.248,0
9893446.212,0,9655219.735,0
9777990.331,0,9544177.197,0
9666605.335,0,9437302.016,0
9559155.244,0,9334431.587,0
9468911.734,0,9248862.527,0
9383700.514,0,9168373.916,0
9302349.591,0,9091758.729,0
9228907.269,0,9021938.546,0
9157961.752,0,8954850.706,0
9089728.916,0,8890342.688,0
9023965.015,0,8828306.243,0
8960677.974,0,8768691.536,0
8899380.805,0,8711362.534,0
9417359.123,908298.402,9369311.415,880169.9681
9392187.667,865059.5469,9342835.956,835871.8399
9360971.443,817616.7638,9310624.199,787670.1233
9328617.315,770765.9809,9277412.869,740109.8266
9295644.353,723303.9891,9243671.301,691988.9728
9262455.372,675090.6359,9209791.922,643159.1474
8471737.829,0,8421923.265,0
8440372.76,0,8390002.622,0
8415122.633,0,8364307.874,0
8404776.074,0,8353403.031,0
8398789.1,0,8346821.97,0
8396037.469,0,8343491.881,0
8369130.218,0,8316005.437,0
8344526.056,0,8290891.134,0
8322024.608,0,8267848.724,0
8306316.562,0,8251621.458,0
8292453.533,0,8237281.529,0
8306538.424,0,8225066.08,0
8419657.57,0,8230243.688,0
8284665.225,0,8237445.298,0
8311461.061,0,8246263.864,0
8310290.355,0,8252502.003,0
8315528.48,0,8257381.733,0
8334839.068,0,8301116.756,0
8377592.448,0,8246550.374,0
8425809.933,0,8365179.107,0
9481617.825,0,9439548.872,0
9541250.042,0,9480315.292,0
9578427.952,0,9516827.696,0
9615133.164,0,9552842.211,0
9024731.694,1142980.637,9066959.956,1169240.643
9071475.098,1186167.742,9115655.599,1214015.591
9097675.915,1214555.096,9142779.064,1243215.018
9119190.27,1239912.859,9165027.568,1269271.207
9137083.694,1262085.84,9183428.189,1292012.494
9151764.358,1281874.526,9198715.696,1312351.81
7709694.085,0,7840891.875,0
7785509.103,0,7921757.615,0
7843050.462,0,7980912.463,0
