Date/Time,Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/07  12:00:00,105272079.3175783,45553923.71406241 
 01/07  13:00:00,105272079.3175783,16162941.717673134 
 01/07  14:00:00,105272079.3175783,85895434.46538642 
 01/07  15:00:00,105272079.3175783,48052096.49917423 
 01/07  16:00:00,105272079.3175783,46326946.42004419 
 01/07  17:00:00,105272079.3175783,87114182.8896659 
 01/07  18:00:00,87607411.2815028,27893315.146687189 
 01/07  19:00:00,74647423.82346502,10260643.920594935 
 01/07  20:00:00,74647423.82346502,46691460.92109053 
 01/07  21:00:00,60877444.67444614,60608527.5112402 
 01/07  22:00:00,60877444.67444614,64442882.789366018 
 01/07  23:00:00,47107465.52542727,76439241.94190644 
 01/07  24:00:00,40222475.95091783,87147060.64684123 
 01/08  01:00:00,34580257.57450944,1765132.2473425426 
 01/08  02:00:00,34580257.57450944,3458356.9552522276 
 01/08  03:00:00,34580257.57450944,1765228.1484363354 
 01/08  04:00:00,34580257.57450944,3458288.8255584009 
 01/08  05:00:00,34580257.57450944,1765207.6391913214 
 01/08  06:00:00,47107465.52542727,113700890.89284891 
 01/08  07:00:00,47107465.52542727,118140401.09007652 
 01/08  08:00:00,65415667.82346502,79421462.9329833 
 01/08  09:00:00,105272079.3175783,84096416.16443256 
 01/08  10:00:00,105272079.3175783,134050237.71823314 
 01/08  11:00:00,105272079.3175783,115906485.40301264 
 01/08  12:00:00,105272079.3175783,89419540.49681609 
 01/08  13:00:00,105272079.3175783,35828771.66370499 
 01/08  14:00:00,105272079.3175783,98272724.65809088 
 01/08  15:00:00,105272079.3175783,70893128.68169141 
 01/08  16:00:00,105272079.3175783,83652964.26566541 
 01/08  17:00:00,105272079.3175783,71815880.6147604 
 01/08  18:00:00,87607411.2815028,54881201.66462205 
 01/08  19:00:00,74647423.82346502,19679871.99159865 
 01/08  20:00:00,74647423.82346502,61044987.92975411 
 01/08  21:00:00,60877444.67444614,81499373.25983908 
 01/08  22:00:00,60877444.67444614,82933505.74101037 
 01/08  23:00:00,47107465.52542727,89438045.77450505 
 01/08  24:00:00,40222475.95091783,94463194.98228339 
 01/09  01:00:00,34580257.57450944,1765177.7392100823 
 01/09  02:00:00,34580257.57450944,3458314.060459389 
 01/09  03:00:00,34580257.57450944,1765146.644785225 
 01/09  04:00:00,34580257.57450944,1765233.5477135312 
 01/09  05:00:00,34580257.57450944,3458302.6341853088 
 01/09  06:00:00,47107465.52542727,114750530.07451222 
 01/09  07:00:00,47107465.52542727,120021545.42354705 
