Date/Time,S1 OFFICE BACK:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE CORE:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE FRONT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE LEFT:Zone Infiltration Air Change Rate [ach](Hourly),S1 OFFICE RIGHT:Zone Infiltration Air Change Rate [ach](Hourly),Electricity:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/03  01:00:00,0.05492868141634047,0.005395439961923535,0.05490891804931952,0.05492703122033261,0.054926725795940888,34633452.83331995,1849092.710350015 
 01/03  02:00:00,4.4320928848951419e-15,0.0,1.9415070983103725e-15,3.1032228059385386e-15,0.0,34633452.83331995,1849064.5795658814 
 01/03  03:00:00,0.0,0.0,0.0,0.0,8.506852279007828e-15,34633452.83331995,3626048.7200008446 
 01/03  04:00:00,2.451721660851838e-15,0.0,5.6007229810944489e-15,4.186154168039718e-15,3.916105413739758e-15,34633452.83331995,1848989.3948769696 
 01/03  05:00:00,4.879225540486912e-15,0.0,4.8905482478260449e-15,3.890411570514164e-15,0.0,34633452.83331995,1848972.6359869827 
 01/03  06:00:00,0.0,0.046218388798031,0.0,0.0,0.0,39863262.87865018,36381311.19363139 
 01/03  07:00:00,0.05885394540717526,0.12386006947625172,0.05888341078406623,0.058826911407239109,0.05882847731984633,46801447.71193018,43022276.910920489 
 01/03  08:00:00,0.04857887203798916,0.09692734805663815,0.04860836882921599,0.04854303454197051,0.04853587823384472,37569691.71193018,42435713.34545436 
 01/03  09:00:00,0.4080762076385704,0.34353925928597359,0.40810789921166559,0.4080112607923034,0.40804328331378489,46858919.04505018,54092899.17831661 
 01/03  10:00:00,0.25921288506862447,0.1700791690053244,0.2593276857416355,0.25911580912137019,0.2591876515824701,46858919.04505018,47787128.56636977 
 01/03  11:00:00,0.20513567109698503,0.16508095279362076,0.20530670728743959,0.20501954714555657,0.20511040207950394,46858919.04505018,40807051.44118045 
 01/03  12:00:00,0.46600695651195719,0.38401618932189426,0.4662177319419904,0.46593295281485,0.46599727537197629,46858919.04505018,38687451.47926387 
 01/03  13:00:00,0.06871179702424221,0.10777133812544065,0.06876573635397053,0.06869404815676965,0.0687077851073516,26044364.545210184,7062136.328538779 
 01/03  14:00:00,0.09160705854940254,0.1282533809493254,0.0916795824078135,0.09159093296616001,0.09160256770732527,26044364.545210184,3626658.2042929877 
